point_id_old,point_id_new,mass_region,field,old,new,rel_delta
point_2d5805b3f33ee136,point_312232762f79b50d,R150_anchor,BR_gg,0.13290387772883938,0.13290387772883944,4.176789e-16
point_2d5805b3f33ee136,point_312232762f79b50d,R150_anchor,BR_gammagamma,0.0002556975408692507,0.00025569754086925193,4.876201e-15
point_2d5805b3f33ee136,point_312232762f79b50d,R150_anchor,BR_Zgamma,1.9150449721975153e-05,1.915044972197528e-05,6.723028e-15
point_2d5805b3f33ee136,point_312232762f79b50d,R150_anchor,ctau_physical_mm,1.9227835585195492e-10,1.92278355851955e-10,4.033121e-16
point_59f69187b3072323,point_81ba94519b3ba5aa,R150_anchor,campaign_id,high_mass_h2_physical_point_scan_v1,high_mass_h2_physical_point_scan_v2_mh12520,
point_59f69187b3072323,point_81ba94519b3ba5aa,R150_anchor,m_h_GeV,125.13,125.2,5.594182e-04
point_59f69187b3072323,point_81ba94519b3ba5aa,R150_anchor,lambda1,0.9083800107711164,0.9086690536524857,3.181960e-04
point_59f69187b3072323,point_81ba94519b3ba5aa,R150_anchor,lambda2,0.32390202348875907,0.3241910663701284,8.923775e-04
point_59f69187b3072323,point_81ba94519b3ba5aa,R150_anchor,lambda3,6.408984202827615,6.4092732457089845,4.509964e-05
point_59f69187b3072323,point_81ba94519b3ba5aa,R150_anchor,g_hH2H2_GeV,180.55971955264,180.6308878553773,3.941538e-04
point_59f69187b3072323,point_81ba94519b3ba5aa,R150_anchor,width_bb_GeV,0.000776615529209877,0.0007766155292098764,-8.376362e-16
point_59f69187b3072323,point_81ba94519b3ba5aa,R150_anchor,width_tautau_GeV,7.763787718489075e-05,7.763787718489069e-05,-8.728038e-16
point_59f69187b3072323,point_81ba94519b3ba5aa,R150_anchor,width_gg_GeV,0.0001363935153256408,0.00013639351532564062,-1.391088e-15
point_59f69187b3072323,point_81ba94519b3ba5aa,R150_anchor,width_gammagamma_GeV,2.7527355383287005e-07,2.7527355383287154e-07,5.384853e-15
point_59f69187b3072323,point_81ba94519b3ba5aa,R150_anchor,width_Zgamma_GeV,2.1364737873198846e-08,2.1364737873198343e-08,-2.353999e-14
point_59f69187b3072323,point_81ba94519b3ba5aa,R150_anchor,total_width_GeV,0.0010262714267792782,0.0010262714267792773,-8.451582e-16
point_59f69187b3072323,point_81ba94519b3ba5aa,R150_anchor,BR_cc,0.03388002251639287,0.033880022516392896,8.192313e-16
point_59f69187b3072323,point_81ba94519b3ba5aa,R150_anchor,BR_gg,0.1329019904156166,0.13290199041561654,-4.176849e-16
point_59f69187b3072323,point_81ba94519b3ba5aa,R150_anchor,BR_gammagamma,0.00026822685173721937,0.00026822685173722105,6.265269e-15
point_59f69187b3072323,point_81ba94519b3ba5aa,R150_anchor,BR_Zgamma,2.0817823935961333e-05,2.081782393596086e-05,-2.262246e-14
point_59f69187b3072323,point_81ba94519b3ba5aa,R150_anchor,ctau_physical_mm,1.9227562538622586e-10,1.9227562538622602e-10,8.066356e-16
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,campaign_id,high_mass_h2_physical_point_scan_v1,high_mass_h2_physical_point_scan_v2_mh12520,
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,m_h_GeV,125.13,125.2,5.594182e-04
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,lambda1,6.552747934165261,6.553036977046629,4.411018e-05
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,lambda2,0.6516750187258934,0.6519640616072628,4.435384e-04
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,lambda3,7.770076183726151,7.770365226607522,3.719949e-05
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,g_hH2H2_GeV,838.5063753076686,838.577543610406,8.487509e-05
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,width_bb_GeV,0.0007766155292098773,0.0007766155292098774,1.396060e-16
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,width_cc_GeV,3.477009904721259e-05,3.47700990472126e-05,1.948877e-16
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,width_gg_GeV,0.00013639351532564127,0.00013639351532564151,1.788542e-15
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,width_gammagamma_GeV,2.122554000604088e-07,2.122554000604082e-07,-2.743559e-15
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,width_Zgamma_GeV,1.3306154693890029e-08,1.3306154693889866e-08,-1.218439e-14
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,total_width_GeV,0.0010262003500423273,0.0010262003500423277,4.226084e-16
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,BR_bb,0.7567874335434056,0.7567874335434054,-2.934042e-16
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,BR_cc,0.033882369116107244,0.03388236911610724,-2.047936e-16
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,BR_tautau,0.0756556720933573,0.07565567209335727,-3.668671e-16
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,BR_gg,0.1329111954795333,0.1329111954795335,1.461796e-15
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,BR_gammagamma,0.00020683621872829606,0.00020683621872829541,-3.145103e-15
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,BR_Zgamma,1.296642969702865e-05,1.2966429697028487e-05,-1.254241e-14
point_e73df58f1c260a52,point_98cf22cd4f42d369,R150_anchor,ctau_physical_mm,1.9228894278964234e-10,1.9228894278964226e-10,-4.032899e-16
point_ddc69ede3eed1b36,point_33fdbfe2a0cc1b21,R150_anchor,campaign_id,high_mass_h2_physical_point_scan_v1,high_mass_h2_physical_point_scan_v2_mh12520,
point_ddc69ede3eed1b36,point_33fdbfe2a0cc1b21,R150_anchor,m_h_GeV,125.13,125.2,5.594182e-04
point_ddc69ede3eed1b36,point_33fdbfe2a0cc1b21,R150_anchor,lambda1,5.483874349426432,5.484163392307801,5.270779e-05
point_ddc69ede3eed1b36,point_33fdbfe2a0cc1b21,R150_anchor,lambda2,0.5848704196797165,0.585159462561086,4.941999e-04
point_ddc69ede3eed1b36,point_33fdbfe2a0cc1b21,R150_anchor,lambda3,7.502857787541445,7.503146830422814,3.852437e-05
point_ddc69ede3eed1b36,point_33fdbfe2a0cc1b21,R150_anchor,g_hH2H2_GeV,706.9170441566629,706.9882124594004,1.006742e-04
point_ddc69ede3eed1b36,point_33fdbfe2a0cc1b21,R150_anchor,width_bb_GeV,0.0007766155292098773,0.0007766155292098769,-5.584242e-16
point_ddc69ede3eed1b36,point_33fdbfe2a0cc1b21,R150_anchor,width_cc_GeV,3.477009904721259e-05,3.4770099047212564e-05,-7.795507e-16
point_ddc69ede3eed1b36,point_33fdbfe2a0cc1b21,R150_anchor,width_tautau_GeV,7.76378771848908e-05,7.763787718489073e-05,-8.728038e-16
point_ddc69ede3eed1b36,point_33fdbfe2a0cc1b21,R150_anchor,width_gg_GeV,0.00013639351532564127,0.00013639351532564138,7.949074e-16
point_ddc69ede3eed1b36,point_33fdbfe2a0cc1b21,R150_anchor,width_gammagamma_GeV,2.23838134419597e-07,2.238381344195939e-07,-1.383573e-14
