m_phi,mA,alpha,beta,lambda6,lambda7,m12,positivty,unitarity,perturbativity,w_h2_bb,w_h2_tautau,w_h2_WW,w_h2_ZZ,w_h2_gaga,w_h2_Zga,w_h2_gg,w_h2_hh,w_total_h2,branching_ratio_h2_gaga
125.0,300.0,0.0055000000000000005,1.59,0.0,0.0,10.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,0.0,0.0,20.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,0.0,20.0,0.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,0.0,20.0,10.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,0.0,20.0,20.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,20.0,-20.0,0.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,20.0,-20.0,10.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,20.0,-20.0,20.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,20.0,0.0,0.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,20.0,0.0,10.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,20.0,0.0,20.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,20.0,20.0,0.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,20.0,20.0,10.0,0,0,0,,,,,,,,,,
125.0,300.0,0.0055000000000000005,1.59,20.0,20.0,20.0,0,0,0,,,,,,,,,,
125.0,300.0,0.01,1.55,-20.0,-20.0,0.0,0,0,0,0.0,0.0,,,1.52293161890096,0.1456762944108898,0.0,0.0,1.668608813880141,0.9126954180228575
125.0,300.0,0.01,1.55,-20.0,-20.0,10.0,0,0,0,0.0,0.0,,,1.522981947457116,0.1456811080352243,0.0,0.0,1.668663956060632,0.9126954183468787
125.0,300.0,0.01,1.55,-20.0,-20.0,20.0,0,0,0,0.0,0.0,,,1.52303227684098,0.1456859217376564,0.0,0.0,1.668719099146928,0.9126954186714678
125.0,300.0,0.01,1.55,-20.0,0.0,0.0,1,0,0,0.0,0.0,,,1.170802257744371e-06,8.408205647860385e-08,0.0,0.0,2.155452605767667e-06,0.5431816290515876
125.0,300.0,0.01,1.55,-20.0,0.0,10.0,1,0,0,0.0,0.0,,,1.127090237875953e-06,8.046481352223448e-08,0.0,0.0,2.108123342942909e-06,0.5346415055119838
125.0,300.0,0.01,1.55,-20.0,0.0,20.0,1,0,0,0.0,0.0,,,1.084209811988232e-06,7.692709822724446e-08,0.0,0.0,2.06170520175932e-06,0.5258801360461431
125.0,300.0,0.01,1.55,-20.0,20.0,0.0,0,0,0,0.0,0.0,,,1.528277540584164,0.1461193272473796,0.0,0.0,1.674397768399835,0.9127326668887564
125.0,300.0,0.01,1.55,-20.0,20.0,10.0,0,0,0,0.0,0.0,,,1.52822712460568,0.146114506389183,0.0,0.0,1.674342531563154,0.9127326671794795
125.0,300.0,0.01,1.55,-20.0,20.0,20.0,0,0,0,0.0,0.0,,,1.528176709458881,0.1461096856105792,0.0,0.0,1.674287295637751,0.9127326674701812
125.0,300.0,0.01,1.55,0.0,-20.0,0.0,0,0,0,0.0,0.0,,,1.524250736554261,0.1458024600812297,0.0,0.0,1.670054097203782,0.9126954265172345
125.0,300.0,0.01,1.55,0.0,-20.0,10.0,0,0,0,0.0,0.0,,,1.524301086901038,0.1458072757890976,0.0,0.0,1.670109263258427,0.9126954268411676
