lambda1,lambda2,lambda3,lambda4,lambda5,m12_squared,beta,tan_beta,positivity_ok,unitarity_ok,perturbativity_ok,width_h2_bb,width_h2_tautau,width_h2_WW,width_h2_ZZ,width_hgaga,total_width_h2,branching_ratio_hgaga
0.000000,0.000000,9.734518,29.734518,9.734518,0.020000,0.020000,0.020003,true,false,false,0.000000,0.000000,1.289898,0.541736,0.000066,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.020000,0.040000,0.040021,true,false,false,0.000000,0.000000,5.161797,2.353297,0.000089,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.020000,0.060000,0.060072,true,false,false,0.000000,0.000000,10.926664,5.128368,0.000102,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.020000,0.080000,0.080171,true,false,false,0.000000,0.000000,18.338754,8.737821,0.000113,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.020000,0.100000,0.100335,true,false,false,0.000000,0.000000,27.281747,13.118608,0.000124,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.040000,0.020000,0.020003,true,false,false,0.000000,0.000000,1.289909,0.541741,0.000066,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.040000,0.040000,0.040021,true,false,false,0.000000,0.000000,5.161805,2.353301,0.000089,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.040000,0.060000,0.060072,true,false,false,0.000000,0.000000,10.926670,5.128372,0.000102,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.040000,0.080000,0.080171,true,false,false,0.000000,0.000000,18.338759,8.737824,0.000113,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.040000,0.100000,0.100335,true,false,false,0.000000,0.000000,27.281752,13.118610,0.000124,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.060000,0.020000,0.020003,true,false,false,0.000000,0.000000,1.289921,0.541747,0.000066,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.060000,0.040000,0.040021,true,false,false,0.000000,0.000000,5.161814,2.353305,0.000089,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.060000,0.060000,0.060072,true,false,false,0.000000,0.000000,10.926676,5.128375,0.000102,-nan,0.000000
