m_phi,mA,alpha,beta,lambda6,lambda7,m12,sin_ba,tan_beta,positivity_ok,unitarity_ok,perturbativity_ok,width_h2_bb,width_h2_tautau,width_h2_WW,width_h2_ZZ,width_h2_gaga,total_width_h2,branching_ratio_h2_gaga
125.0,305.0,0.0001,-1.57089633,-5.0,-5.0,10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,166785255.37920347,182728740.80834752,0.91274779567454
150.0,205.0,0.0001,-1.57089633,-5.0,-5.0,10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,1568543112.689553,1940880041.6361496,0.80816077193894
150.0,380.0,0.0001,-1.57089633,-5.0,-5.0,10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,119209577.66788846,146941106.78527504,0.811274532198055
125.0,230.0,0.0001,-1.57089633,-5.0,-5.0,10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,534413003.92722106,585990043.3995787,0.911983078802607
150.0,180.0,0.0001,-1.57089633,-5.0,-5.0,10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,2768791188.741171,3432001396.941576,0.806757010999056
125.0,130.0,0.0001,-1.57089633,-5.0,-5.0,10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,6333092778.833496,6977127298.757252,0.907693454290497
125.0,380.0,0.0001,-1.57089633,-5.0,-5.0,10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,68095218.38161284,74576173.65347245,0.91309616792658
150.0,305.0,0.0001,-1.57089633,-5.0,-5.0,10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,4.59914e-10,5.5617e-11,294172006.17862624,362908417.6052628,0.8105957092971
125.0,205.0,0.0001,-1.57089633,-5.0,-5.0,10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,865410519.0832621,949425959.7592947,0.911509223218067
125.0,330.0,0.0001,-1.57089633,-5.0,-5.0,10.0,-0.999999979999359,9999.679466593587,0.0,0.0,0.0,0.0,0.0,3.3776e-11,4.219e-12,120887028.39114477,132422148.05511092,0.912891311360049
