Unnamed: 0,m_phi,mA,alpha,beta,lambda6,lambda7,m12,positivity_ok,unitarity_ok,perturbativity_ok,w_h2_bb,w_h2_tautau,w_h2_WW,w_h2_ZZ,w_h2_gaga,w_h2_Zga,w_h2_gg,w_h2_hh,w_total_h2,branching_ratio_h2_gaga
80,125,320.0,-0.7,0.849066,-1.0,-0.1454,-0.131454,1,1,1,0.0,0.0,1.897427017951185e-09,4.9798895091944e-08,1.897427017951185e-09,2.023694780829083e-09,0.0,0.0,4.523775659606327e-07,0.0041943437533688
81,125,320.0,-0.7,0.849066,-1.0,-0.1454,0.302819,1,1,1,0.0,0.0,1.8974446637623372e-09,4.9798895091944e-08,1.8974446637623372e-09,2.023700411983943e-09,0.0,0.0,4.523775892375987e-07,0.0041943825443699
82,125,320.0,-0.7,0.849066,-1.0,-0.1454,0.737092,1,1,1,0.0,0.0,1.897462309655545e-09,4.979889509194417e-08,1.897462309655545e-09,2.023706043146593e-09,0.0,0.0,4.523776125146557e-07,0.0041944213355475
83,125,320.0,-0.7,0.849066,-1.0,-0.1454,1.171365,1,1,1,0.0,0.0,1.897479955630804e-09,4.979889509194425e-08,1.897479955630804e-09,2.02371167431724e-09,0.0,0.0,4.523776357918025e-07,0.0041944601269017
84,125,320.0,-0.7,0.849066,-0.5727,-1.0,-1.0,1,1,1,0.0,0.0,1.1479451905331032e-08,4.979889509194374e-08,1.1479451905331032e-08,4.177415414008261e-09,0.0,0.0,4.641133114811893e-07,0.0247341578475632
85,125,320.0,-0.7,0.849066,-0.5727,-1.0,-0.565727,1,1,1,0.0,0.0,1.147949530826259e-08,4.979889509194364e-08,1.147949530826259e-08,4.177423504570506e-09,0.0,0.0,4.641133629746823e-07,0.024734248621255
86,125,320.0,-0.7,0.849066,-0.5727,-1.0,-0.131454,1,1,1,0.0,0.0,1.147953871127617e-08,4.979889509194464e-08,1.147953871127617e-08,4.177431595140726e-09,0.0,0.0,4.641134144682741e-07,0.0247343393950982
87,125,320.0,-0.7,0.849066,-0.5727,-1.0,0.302819,1,1,1,0.0,0.0,1.147958211437191e-08,4.979889509194417e-08,1.147958211437191e-08,4.177439685718622e-09,0.0,0.0,4.64113465961944e-07,0.024734430169094
88,125,320.0,-0.7,0.849066,-0.5727,-1.0,0.737092,1,1,1,0.0,0.0,1.14796255175496e-08,4.979889509194345e-08,1.14796255175496e-08,4.1774477763043985e-09,0.0,0.0,4.64113517455702e-07,0.0247345209432416
89,125,320.0,-0.7,0.849066,-0.5727,-1.0,1.171365,1,1,1,0.0,0.0,1.147966892080942e-08,4.979889509194425e-08,1.147966892080942e-08,4.1774558668979505e-09,0.0,0.0,4.641135689495618e-07,0.0247346117175405
90,125,320.0,-0.7,0.849066,-0.5727,-0.5727,-1.0,1,1,1,0.0,0.0,7.094078275700521e-09,4.9798895091943836e-08,7.094078275700521e-09,3.31220940632387e-09,0.0,0.0,4.588627318438753e-07,0.0154601317199894
91,125,320.0,-0.7,0.849066,-0.5727,-0.5727,-0.565727,1,1,1,0.0,0.0,7.094112395509221e-09,4.9798895091944074e-08,7.094112395509221e-09,3.312216610491217e-09,0.0,0.0,4.588627731678533e-07,0.0154602046850163
92,125,320.0,-0.7,0.849066,-0.5727,-0.5727,-0.131454,1,1,1,0.0,0.0,7.094146515399962e-09,4.9798895091944e-08,7.094146515399962e-09,3.312223814666385e-09,0.0,0.0,4.588628144919187e-07,0.0154602776502058
93,125,320.0,-0.7,0.849066,-0.5727,-0.5727,0.302819,1,1,1,0.0,0.0,7.094180635372774e-09,4.9798895091944445e-08,7.094180635372774e-09,3.312231018849426e-09,0.0,0.0,4.588628558160781e-07,0.0154603506155579
94,125,320.0,-0.7,0.849066,-0.5727,-0.5727,0.737092,1,1,1,0.0,0.0,7.094214755427637e-09,4.979889509194478e-08,7.094214755427637e-09,3.312238223040281e-09,0.0,0.0,4.588628971403263e-07,0.0154604235810727
95,125,320.0,-0.7,0.849066,-0.5727,-0.5727,1.171365,1,1,1,0.0,0.0,7.0942488755645285e-09,4.979889509194464e-08,7.0942488755645285e-09,3.312245427238953e-09,0.0,0.0,4.588629384646607e-07,0.0154604965467501
96,125,320.0,-0.7,0.849066,-0.5727,-0.1454,-1.0,1,1,1,0.0,0.0,3.758977255523843e-09,4.979889509194345e-08,3.758977255523843e-09,2.547288221333162e-09,0.0,0.0,4.547627096387049e-07,0.0082657992307905
97,125,320.0,-0.7,0.849066,-0.5727,-0.1454,-0.565727,1,1,1,0.0,0.0,3.759002092209658e-09,4.979889509194335e-08,3.759002092209658e-09,2.547294539105519e-09,0.0,0.0,4.547627407931625e-07,0.0082658532791263
98,125,320.0,-0.7,0.849066,-0.5727,-0.1454,-0.131454,1,1,1,0.0,0.0,3.759026928977533e-09,4.979889509194364e-08,3.759026928977533e-09,2.547300856885804e-09,0.0,0.0,4.547627719477126e-07,0.0082659073276335
99,125,320.0,-0.7,0.849066,-0.5727,-0.1454,0.302819,1,1,1,0.0,0.0,3.759051765827452e-09,4.979889509194364e-08,3.759051765827452e-09,2.5473071746738682e-09,0.0,0.0,4.547628031023506e-07,0.008265961376312
100,125,320.0,-0.7,0.849066,-0.5727,-0.1454,0.737092,1,1,1,0.0,0.0,3.7590766027593814e-09,4.9798895091943836e-08,3.7590766027593814e-09,2.547313492469716e-09,0.0,0.0,4.547628342570799e-07,0.0082660154251619
101,125,320.0,-0.7,0.849066,-0.5727,-0.1454,1.171365,1,1,1,0.0,0.0,3.759101439773407e-09,4.9798895091944e-08,3.759101439773407e-09,2.547319810273476e-09,0.0,0.0,4.547628654118993e-07,0.0082660694741832
102,125,320.0,-0.7,0.849066,-0.1454,-1.0,-1.0,1,1,1,0.0,0.0,1.5598421975277253e-08,4.979889509194374e-08,1.5598421975277253e-08,4.916565496548136e-09,0.0,0.0,4.689714316336755e-07,0.0332609215041941
103,125,320.0,-0.7,0.849066,-0.1454,-1.0,-0.565727,1,1,1,0.0,0.0,1.559847256924739e-08,4.979889509194319e-08,1.559847256924739e-08,4.9165742737434215e-09,0.0,0.0,4.689714910048365e-07,0.0332610251762329
104,125,320.0,-0.7,0.849066,-0.1454,-1.0,-0.131454,1,1,1,0.0,0.0,1.559852316329999e-08,4.979889509194417e-08,1.559852316329999e-08,4.9165830509469304e-09,0.0,0.0,4.689715503761005e-07,0.033261128848414
105,125,320.0,-0.7,0.849066,-0.1454,-1.0,0.302819,1,1,1,0.0,0.0,1.559857375743425e-08,4.9798895091944074e-08,1.559857375743425e-08,4.916591828157901e-09,0.0,0.0,4.68971609747445e-07,0.0332612325207373
106,125,320.0,-0.7,0.849066,-0.1454,-1.0,0.737092,1,1,1,0.0,0.0,1.559862435165072e-08,4.979889509194364e-08,1.559862435165072e-08,4.9166006053768844e-09,0.0,0.0,4.689716691188769e-07,0.0332613361932034
107,125,320.0,-0.7,0.849066,-0.1454,-1.0,1.171365,1,1,1,0.0,0.0,1.5598674945949473e-08,4.979889509194425e-08,1.5598674945949473e-08,4.916609382603745e-09,0.0,0.0,4.689717284904076e-07,0.0332614398658117
108,125,320.0,-0.7,0.849066,-0.1454,-0.5727,-1.0,1,1,1,0.0,0.0,1.039946964488749e-08,4.979889509194417e-08,1.039946964488749e-08,3.973675280955667e-09,0.0,0.0,4.628295890876967e-07,0.0224693275669482
109,125,320.0,-0.7,0.849066,-0.1454,-0.5727,-0.565727,1,1,1,0.0,0.0,1.039951095573492e-08,4.9798895091943254e-08,1.039951095573492e-08,3.973683171756105e-09,0.0,0.0,4.628296382893375e-07,0.0224694144354551
110,125,320.0,-0.7,0.849066,-0.1454,-0.5727,-0.131454,1,1,1,0.0,0.0,1.03995522666644e-08,4.9798895091944074e-08,1.03995522666644e-08,3.973691062564517e-09,0.0,0.0,4.628296874910817e-07,0.0224695013041158
